id,datetime,sentiment,text,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33,token_34,token_35,token_36,token_37,token_38,token_39,token_40,token_41,token_42,token_43,token_44,token_45,token_46,token_47,token_48,token_49,token_50,token_51,token_52,token_53,token_54,token_55,token_56,token_57,token_58,token_59
9.33302E+17,22/11/17 11:51,0.17995671,Will be having meetings and working the phones from the Winter White House in Florida (Mar-a-Lago). Stock Market hit new Record High yesterday - $5.5 trillion gain since E. Many companies coming back to the U.S. Military building up and getting very strong.,will,be,having,meetings,and,working,the,phones,from,the,winter,white,house,in,florida,mar-a-lago,stock,market,hit,new,record,high,yesterday,-,55,trillion,gain,since,e,many,companies,coming,back,to,the,us,military,building,up,and,getting,very,strong,,,,,,,,,,,,,,,,,
9.33659E+17,23/11/17 11:28,0.333333333,"HAPPY THANKSGIVING, your Country is starting to do really well. Jobs coming back, highest Stock Market EVER, Military getting really strong, we will build the WALL, V.A. taking care of our Vets, great Supreme Court Justice, RECORD CUT IN REGS, lowest unemployment in 17 years....!",happy,thanksgiving,your,country,is,starting,to,do,really,well,jobs,coming,back,highest,stock,market,ever,military,getting,really,strong,we,will,build,the,wall,va,taking,care,of,our,vets,great,supreme,court,justice,record,cut,in,regs,lowest,unemployment,in,17,years,,,,,,,,,,,,,,,
9.3534E+17,28/11/17 2:48,0.209272727,New home sales reach a 10 year high. Stock Market has more record gains. Hopefully Republican Senators will give us the much needed Tax Cuts to keep it all going! Democrats want big Tax Increases.,new,home,sales,reach,a,10,year,high,stock,market,has,more,record,gains,hopefully,republican,senators,will,give,us,the,much,needed,tax,cuts,to,keep,it,all,going,democrats,want,big,tax,increases,,,,,,,,,,,,,,,,,,,,,,,,,
9.35842E+17,29/11/17 12:03,0.5,Looks like another great day for the Stock Market. Consumer Confidence is at Record High. I guess somebody likes me (my policies)!,looks,like,another,great,day,for,the,stock,market,consumer,confidence,is,at,record,high,i,guess,somebody,likes,me,my,policies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.35883E+17,29/11/17 14:49,0.199393939,"Economy growing! Excluding hurricane effects, CEA estimates that real GDP growth would have been 3.9% in Q3.Stock market at a new high, unemployment at a low. We are winning and TAX CUTS will shift our economy into high gear! https://t.co/HrKIF72VqE",economy,growing,excluding,hurricane,effects,cea,estimates,that,real,gdp,growth,would,have,been,39,in,q3stock,market,at,a,new,high,unemployment,at,a,low,we,are,winning,and,tax,cuts,will,shift,our,economy,into,high,gear,http://...,,,,,,,,,,,,,,,,,,,,
9.3622E+17,30/11/17 13:05,0.449090909,Stock Market hits new Record High. Confidence and enthusiasm abound. More great numbers coming out!,stock,market,hits,new,record,high,confidence,and,enthusiasm,abound,more,great,numbers,coming,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.37309E+17,3/12/17 13:15,-0.186111111,"People who lost money when the Stock Market went down 350 points based on the False and Dishonest reporting of Brian Ross of @ABC News (he has been suspended), should consider hiring a lawyer and suing ABC for the damages this bad reporting has caused - many millions of dollars!",people,who,lost,money,when,the,stock,market,went,down,350,points,based,on,the,FALSE,and,dishonest,reporting,of,brian,ross,of,@abc,news,he,has,been,suspended,should,consider,hiring,a,lawyer,and,suing,abc,for,the,damages,this,bad,reporting,has,caused,-,many,millions,of,dollars,,,,,,,,,,
9.37653E+17,4/12/17 12:00,0.195634921,"Putting Pelosi/Schumer Liberal Puppet Jones into office in Alabama would hurt our great Republican Agenda of low on taxes, tough on crime, strong on military and borders...&amp, so much more. Look at your 401-k’s since Election. Highest Stock Market EVER! Jobs are roaring back!",putting,pelosischumer,liberal,puppet,jones,into,office,in,alabama,would,hurt,our,great,republican,agenda,of,low,on,taxes,tough,on,crime,strong,on,military,and,borders&,so,much,more,look,at,your,401-ks,since,election,highest,stock,market,ever,jobs,are,roaring,back,,,,,,,,,,,,,,,,
9.37654E+17,4/12/17 12:03,0.066666667,"With the great vote on Cutting Taxes, this could be a big day for the Stock Market - and YOU!",with,the,great,vote,on,cutting,taxes,this,could,be,a,big,day,for,the,stock,market,-,and,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3985E+17,10/12/17 13:30,0.083083333,"Things are going really well for our economy, a subject the Fake News spends as little time as possible discussing! Stock Market hit another RECORD HIGH, unemployment is now at a 17 year low and companies are coming back into the USA. Really good news, and much more to come!",things,are,going,really,well,for,our,economy,a,subject,the,fake,news,spends,as,little,time,as,possible,discussing,stock,market,hit,another,record,high,unemployment,is,now,at,a,17,year,low,and,companies,are,coming,back,into,the,usa,really,good,news,and,much,more,to,come,,,,,,,,,,
