DATE,SP500
12/12/18,2651.07
13/12/18,2650.54
14/12/18,2599.95
17/12/18,2545.94
18/12/18,2546.16
19/12/18,2506.96
20/12/18,2467.42
21/12/18,2416.62
24/12/18,2351.1
25/12/18,.
26/12/18,2467.7
27/12/18,2488.83
28/12/18,2485.74
31/12/18,2506.85
1/1/19,.
2/1/19,2510.03
3/1/19,2447.89
4/1/19,2531.94
7/1/19,2549.69
8/1/19,2574.41
9/1/19,2584.96
10/1/19,2596.64
11/1/19,2596.26
14/1/19,2582.61
15/1/19,2610.3
16/1/19,2616.1
17/1/19,2635.96
18/1/19,2670.71
21/1/19,.
22/1/19,2632.9
23/1/19,2638.7
24/1/19,2642.33
25/1/19,2664.76
28/1/19,2643.85
29/1/19,2640
30/1/19,2681.05
31/1/19,2704.1
1/2/19,2706.53
4/2/19,2724.87
5/2/19,2737.7
6/2/19,2731.61
7/2/19,2706.05
8/2/19,2707.88
11/2/19,2709.8
12/2/19,2744.73
13/2/19,2753.03
14/2/19,2745.73
15/2/19,2775.6
18/2/19,.
19/2/19,2779.76
20/2/19,2784.7
21/2/19,2774.88
22/2/19,2792.67
25/2/19,2796.11
26/2/19,2793.9
27/2/19,2792.38
28/2/19,2784.49
1/3/19,2803.69
4/3/19,2792.81
5/3/19,2789.65
6/3/19,2771.45
7/3/19,2748.93
8/3/19,2743.07
11/3/19,2783.3
12/3/19,2791.52
13/3/19,2810.92
14/3/19,2808.48
15/3/19,2822.48
18/3/19,2832.94
19/3/19,2832.57
20/3/19,2824.23
21/3/19,2854.88
22/3/19,2800.71
25/3/19,2798.36
26/3/19,2818.46
27/3/19,2805.37
28/3/19,2815.44
29/3/19,2834.4
1/4/19,2867.19
2/4/19,2867.24
3/4/19,2873.4
4/4/19,2879.39
5/4/19,2892.74
8/4/19,2895.77
9/4/19,2878.2
10/4/19,2888.21
11/4/19,2888.32
12/4/19,2907.41
15/4/19,2905.58
16/4/19,2907.06
17/4/19,2900.45
18/4/19,2905.03
19/4/19,.
22/4/19,2907.97
23/4/19,2933.68
24/4/19,2927.25
25/4/19,2926.17
26/4/19,2939.88
29/4/19,2943.03
30/4/19,2945.83
1/5/19,2923.73
2/5/19,2917.52
3/5/19,2945.64
6/5/19,2932.47
7/5/19,2884.05
8/5/19,2879.42
9/5/19,2870.72
10/5/19,2881.4
13/5/19,2811.87
14/5/19,2834.41
15/5/19,2850.96
16/5/19,2876.32
17/5/19,2859.53
20/5/19,2840.23
21/5/19,2864.36
22/5/19,2856.27
23/5/19,2822.24
24/5/19,2826.06
27/5/19,.
28/5/19,2802.39
29/5/19,2783.02
30/5/19,2788.86
31/5/19,2752.06
3/6/19,2744.45
4/6/19,2803.27
5/6/19,2826.15
6/6/19,2843.49
7/6/19,2873.34
10/6/19,2886.73
11/6/19,2885.72
12/6/19,2879.84
13/6/19,2891.64
14/6/19,2886.98
17/6/19,2889.67
18/6/19,2917.75
19/6/19,2926.46
20/6/19,2954.18
21/6/19,2950.46
24/6/19,2945.35
25/6/19,2917.38
26/6/19,2913.78
27/6/19,2924.92
28/6/19,2941.76
1/7/19,2964.33
2/7/19,2973.01
3/7/19,2995.82
4/7/19,.
5/7/19,2990.41
8/7/19,2975.95
9/7/19,2979.63
10/7/19,2993.07
11/7/19,2999.91
12/7/19,3013.77
15/7/19,3014.3
16/7/19,3004.04
17/7/19,2984.42
18/7/19,2995.11
19/7/19,2976.61
22/7/19,2985.03
23/7/19,3005.47
24/7/19,3019.56
25/7/19,3003.67
26/7/19,3025.86
29/7/19,3020.97
30/7/19,3013.18
31/7/19,2980.38
1/8/19,2953.56
2/8/19,2932.05
5/8/19,2844.74
6/8/19,2881.77
7/8/19,2883.98
8/8/19,2938.09
9/8/19,2918.65
12/8/19,2883.75
13/8/19,2926.32
14/8/19,2840.6
15/8/19,2847.6
16/8/19,2888.68
19/8/19,2923.65
20/8/19,2900.51
21/8/19,2924.43
22/8/19,2922.95
23/8/19,2847.11
26/8/19,2878.38
27/8/19,2869.16
28/8/19,2887.94
29/8/19,2924.58
30/8/19,2926.46
2/9/19,.
3/9/19,2906.27
4/9/19,2937.78
5/9/19,2976
6/9/19,2978.71
9/9/19,2978.43
10/9/19,2979.39
11/9/19,3000.93
12/9/19,3009.57
13/9/19,3007.39
16/9/19,2997.96
17/9/19,3005.7
18/9/19,3006.73
19/9/19,3006.79
20/9/19,2992.07
23/9/19,2991.78
24/9/19,2966.6
25/9/19,2984.87
26/9/19,2977.62
27/9/19,2961.79
30/9/19,2976.74
1/10/19,2940.25
2/10/19,2887.61
3/10/19,2910.63
4/10/19,2952.01
7/10/19,2938.79
8/10/19,2893.06
9/10/19,2919.4
10/10/19,2938.13
11/10/19,2970.27
14/10/19,2966.15
15/10/19,2995.68
16/10/19,2989.69
17/10/19,2997.95
18/10/19,2986.2
21/10/19,3006.72
22/10/19,2995.99
23/10/19,3004.52
24/10/19,3010.29
25/10/19,3022.55
